x,y,bucket,longitude,latitude,speed
741.436,25.523,3,-122.388,37.713,17.986
759.520,439.638,3,-122.385,37.778,26.111
536.484,0.039,5,-122.422,37.709,10.625
150.692,293.105,4,-122.486,37.755,36.806
524.428,586.171,5,-122.424,37.801,10.153
126.580,426.896,5,-122.49,37.776,10.161
602.792,605.284,5,-122.411,37.804,10.833
307.420,127.459,5,-122.46,37.729,10.278
675.128,554.316,2,-122.399,37.796,11.472
253.168,407.783,2,-122.469,37.773,12.067
536.484,458.751,5,-122.422,37.781,10.428
488.260,395.041,1,-122.43,37.771,9.617
735.408,426.896,3,-122.389,37.776,16.944
217.000,350.444,1,-122.475,37.764,9.500
590.736,108.346,2,-122.413,37.726,11.806
397.840,76.491,2,-122.445,37.721,13.158
506.344,203.911,2,-122.427,37.741,11.574
626.904,273.992,2,-122.407,37.752,12.142
289.336,344.073,1,-122.463,37.763,9.445
554.568,369.557,5,-122.419,37.767,10.278
638.960,184.798,2,-122.405,37.738,11.119
373.728,344.073,1,-122.449,37.763,9.486
705.268,312.218,5,-122.394,37.758,10.232
349.616,101.975,5,-122.453,37.725,10.973
807.744,286.734,3,-122.377,37.754,15.833
669.100,471.493,2,-122.4,37.783,11.178
229.056,82.862,2,-122.473,37.722,11.049
717.324,76.491,5,-122.392,37.721,10.519
229.056,305.847,5,-122.473,37.757,10.000
174.804,312.218,5,-122.482,37.758,10.417
36.160,127.459,3,-122.505,37.729,17.222
741.436,261.250,2,-122.388,37.75,11.390
24.104,350.444,2,-122.507,37.764,11.107
385.784,203.911,2,-122.447,37.741,11.250
470.176,414.154,2,-122.433,37.774,11.436
855.968,146.572,5,-122.369,37.732,14.815
753.492,312.218,5,-122.386,37.758,29.259
120.552,299.476,5,-122.491,37.756,10.556
186.860,573.429,3,-122.48,37.799,22.500
349.616,471.493,2,-122.453,37.783,11.111
379.756,356.815,1,-122.448,37.765,9.774
669.100,101.975,3,-122.4,37.725,20.234
669.100,509.719,2,-122.4,37.789,11.088
84.384,57.378,3,-122.497,37.718,15.833
367.700,465.122,2,-122.45,37.782,11.005
747.464,267.621,2,-122.387,37.751,11.952
78.356,191.169,1,-122.498,37.739,9.722
675.128,172.056,5,-122.399,37.736,10.458
427.980,223.024,2,-122.44,37.744,12.917
265.224,203.911,5,-122.467,37.741,10.326
168.776,254.879,5,-122.483,37.749,10.278
271.252,254.879,5,-122.466,37.749,10.151
259.196,433.267,1,-122.468,37.777,9.559
192.888,31.894,3,-122.479,37.714,16.756
241.112,426.896,2,-122.471,37.776,11.778
