x,y,bucket,longitude,latitude,speed
494.288,178.427,1,-122.429,37.737,8.611
440.036,286.734,1,-122.438,37.754,9.881
162.748,356.815,2,-122.484,37.765,10.833
584.708,242.137,1,-122.414,37.747,8.889
452.092,229.395,1,-122.436,37.745,8.056
524.428,586.171,1,-122.424,37.801,9.167
132.608,356.815,2,-122.489,37.765,11.482
126.580,426.896,1,-122.49,37.776,9.259
771.576,197.540,2,-122.383,37.74,11.944
331.532,51.007,1,-122.456,37.717,8.056
349.616,25.523,3,-122.453,37.713,16.389
204.944,344.073,2,-122.477,37.763,11.000
253.168,407.783,1,-122.469,37.773,9.945
723.352,57.378,1,-122.391,37.718,9.074
675.128,312.218,1,-122.399,37.758,9.815
542.512,223.024,1,-122.421,37.744,9.292
735.408,324.960,1,-122.389,37.76,9.132
482.232,152.943,1,-122.431,37.733,8.519
638.960,184.798,2,-122.405,37.738,13.056
632.932,426.896,2,-122.406,37.776,10.219
373.728,344.073,1,-122.449,37.763,9.167
530.456,598.913,1,-122.423,37.803,9.167
241.112,44.636,2,-122.471,37.716,10.255
651.016,191.169,2,-122.403,37.739,12.153
693.212,426.896,1,-122.396,37.776,9.167
144.664,248.508,1,-122.487,37.748,8.611
687.184,414.154,3,-122.397,37.774,17.813
355.644,0.039,1,-122.452,37.709,9.445
717.324,76.491,2,-122.392,37.721,10.278
753.492,210.282,2,-122.386,37.742,11.412
452.092,197.540,2,-122.436,37.74,10.660
590.736,433.267,1,-122.413,37.777,8.056
632.932,324.960,3,-122.406,37.76,20.764
476.204,356.815,2,-122.432,37.765,14.196
584.708,420.525,1,-122.414,37.775,8.333
741.436,261.250,2,-122.388,37.75,10.973
283.308,471.493,1,-122.464,37.783,8.334
741.436,509.719,2,-122.388,37.789,11.472
192.888,216.653,1,-122.479,37.743,8.611
24.104,350.444,2,-122.507,37.764,12.223
24.104,280.363,2,-122.507,37.753,10.278
560.596,452.380,2,-122.418,37.78,10.278
253.168,254.879,2,-122.469,37.749,10.556
379.756,528.832,2,-122.448,37.792,10.000
458.120,101.975,1,-122.435,37.725,9.167
494.288,496.977,1,-122.429,37.787,9.908
705.268,554.316,1,-122.394,37.796,9.236
54.244,426.896,1,-122.502,37.776,9.915
657.044,273.992,1,-122.402,37.752,9.526
747.464,165.685,2,-122.387,37.735,10.278
446.064,490.606,2,-122.437,37.786,10.185
331.532,293.105,1,-122.456,37.755,9.167
440.036,503.348,2,-122.438,37.788,10.463
210.972,229.395,1,-122.476,37.745,9.236
536.484,490.606,1,-122.422,37.786,8.849
464.148,25.523,1,-122.434,37.713,9.445
446.064,395.041,1,-122.437,37.771,9.074
705.268,210.282,2,-122.394,37.742,10.139
283.308,592.542,3,-122.464,37.802,20.695
385.784,299.476,3,-122.447,37.756,19.372
669.100,592.542,2,-122.4,37.802,11.796
741.436,471.493,2,-122.388,37.783,10.293
506.344,567.058,1,-122.427,37.798,8.195
217.000,172.056,2,-122.475,37.736,11.698
235.084,159.314,2,-122.472,37.734,10.531
434.008,484.235,2,-122.439,37.785,10.278
753.492,280.363,3,-122.386,37.753,22.500
620.876,433.267,1,-122.408,37.777,9.792
367.700,465.122,1,-122.45,37.782,9.222
675.128,172.056,1,-122.399,37.736,8.611
476.204,127.459,2,-122.432,37.729,10.070
554.568,401.412,2,-122.419,37.772,10.556
265.224,203.911,1,-122.467,37.741,8.612
578.680,363.186,1,-122.415,37.766,9.028
626.904,420.525,2,-122.407,37.775,10.490
259.196,433.267,1,-122.468,37.777,9.167
271.252,407.783,1,-122.466,37.773,8.056
379.756,76.491,2,-122.448,37.721,14.228
488.260,375.928,1,-122.43,37.768,8.611
217.000,210.282,3,-122.475,37.742,15.278
385.784,567.058,1,-122.447,37.798,8.056
168.776,407.783,2,-122.483,37.773,11.540
319.476,203.911,2,-122.458,37.741,12.812
361.672,496.977,2,-122.451,37.787,10.500
289.336,133.830,2,-122.463,37.73,11.667
584.708,273.992,2,-122.414,37.752,10.509
464.148,101.975,1,-122.434,37.725,9.445
669.100,25.523,1,-122.4,37.713,9.630
488.260,490.606,1,-122.43,37.786,8.056
705.268,172.056,2,-122.394,37.736,10.532
446.064,458.751,1,-122.437,37.781,9.500
620.876,108.346,1,-122.408,37.726,8.611
608.820,344.073,2,-122.41,37.763,10.695
596.764,407.783,4,-122.412,37.773,34.444
367.700,6.410,1,-122.45,37.71,9.283
765.548,184.798,2,-122.384,37.738,11.007
367.700,146.572,1,-122.45,37.732,9.056
409.896,178.427,2,-122.443,37.737,11.979
717.324,127.459,2,-122.392,37.729,11.111
138.636,133.830,2,-122.488,37.73,14.167
590.736,235.766,2,-122.413,37.746,10.710
253.168,433.267,1,-122.469,37.777,9.352
156.720,452.380,1,-122.485,37.78,9.945
711.296,127.459,1,-122.393,37.729,9.334
427.980,496.977,1,-122.44,37.787,9.584
