x,y,bucket,longitude,latitude,speed
717.324,356.815,3,-122.392,37.765,21.945
494.288,178.427,2,-122.429,37.737,10.278
440.036,286.734,2,-122.438,37.754,10.025
536.484,0.039,2,-122.422,37.709,10.000
584.708,242.137,1,-122.414,37.747,9.822
524.428,586.171,2,-122.424,37.801,10.556
114.524,286.734,1,-122.492,37.754,9.706
126.580,426.896,2,-122.49,37.776,10.121
602.792,605.284,1,-122.411,37.804,9.722
675.128,554.316,2,-122.399,37.796,10.371
349.616,25.523,3,-122.453,37.713,20.609
253.168,407.783,2,-122.469,37.773,11.963
614.848,159.314,3,-122.409,37.734,20.004
536.484,458.751,1,-122.422,37.781,9.722
488.260,395.041,1,-122.43,37.771,9.667
735.408,426.896,3,-122.389,37.776,16.944
217.000,350.444,1,-122.475,37.764,9.167
397.840,76.491,3,-122.445,37.721,17.083
506.344,203.911,2,-122.427,37.741,12.222
355.644,395.041,2,-122.452,37.771,10.606
482.232,152.943,2,-122.431,37.733,10.536
289.336,344.073,1,-122.463,37.763,9.722
554.568,369.557,2,-122.419,37.767,10.556
638.960,184.798,2,-122.405,37.738,11.693
409.896,331.331,2,-122.443,37.761,12.288
373.728,344.073,1,-122.449,37.763,9.430
530.456,598.913,1,-122.423,37.803,9.470
669.100,471.493,2,-122.4,37.783,10.964
144.664,248.508,1,-122.487,37.748,9.583
663.072,57.378,3,-122.401,37.718,17.546
229.056,82.862,2,-122.473,37.722,11.319
717.324,76.491,2,-122.392,37.721,10.616
229.056,305.847,1,-122.473,37.757,9.167
174.804,312.218,1,-122.482,37.758,9.167
446.064,382.299,2,-122.437,37.769,10.556
741.436,261.250,2,-122.388,37.75,11.254
741.436,509.719,2,-122.388,37.789,11.885
705.268,280.363,3,-122.394,37.753,20.139
24.104,350.444,2,-122.507,37.764,10.871
560.596,452.380,2,-122.418,37.78,10.428
494.288,496.977,1,-122.429,37.787,9.994
385.784,203.911,2,-122.447,37.741,12.222
470.176,414.154,2,-122.433,37.774,11.389
156.720,401.412,2,-122.485,37.772,11.762
663.072,579.800,2,-122.401,37.8,11.126
542.512,140.201,3,-122.421,37.731,16.111
536.484,490.606,2,-122.422,37.786,10.769
223.028,184.798,2,-122.474,37.738,13.889
446.064,395.041,1,-122.437,37.771,9.748
283.308,592.542,3,-122.464,37.802,17.494
379.756,356.815,1,-122.448,37.765,9.556
669.100,261.250,2,-122.4,37.75,13.951
669.100,101.975,3,-122.4,37.725,16.944
669.100,509.719,2,-122.4,37.789,11.655
518.400,159.314,1,-122.425,37.734,9.723
741.436,471.493,2,-122.388,37.783,10.964
217.000,172.056,2,-122.475,37.736,12.581
235.084,159.314,2,-122.472,37.734,10.614
434.008,484.235,1,-122.439,37.785,9.445
536.484,375.928,2,-122.422,37.768,11.667
753.492,280.363,3,-122.386,37.753,22.000
367.700,465.122,2,-122.45,37.782,11.032
747.464,267.621,2,-122.387,37.751,11.556
675.128,172.056,2,-122.399,37.736,10.127
307.420,76.491,2,-122.46,37.721,10.556
24.104,210.282,2,-122.507,37.742,11.306
265.224,203.911,2,-122.467,37.741,10.280
271.252,254.879,2,-122.466,37.749,10.602
476.204,528.832,1,-122.432,37.792,9.626
259.196,433.267,1,-122.468,37.777,9.584
192.888,31.894,3,-122.479,37.714,17.632
379.756,76.491,3,-122.448,37.721,15.622
