x,y,bucket,longitude,latitude,speed
741.436,25.523,1,-122.388,37.713,9.445
42.188,305.847,3,-122.504,37.757,17.639
602.792,605.284,1,-122.411,37.804,9.537
488.260,395.041,1,-122.43,37.771,9.572
440.036,114.717,3,-122.438,37.727,23.373
217.000,350.444,2,-122.475,37.764,12.917
638.960,184.798,2,-122.405,37.738,12.817
337.560,191.169,2,-122.455,37.739,11.111
373.728,344.073,1,-122.449,37.763,9.872
229.056,82.862,2,-122.473,37.722,10.224
379.756,356.815,2,-122.448,37.765,10.107
427.980,223.024,2,-122.44,37.744,11.111
271.252,254.879,1,-122.466,37.749,9.921
192.888,31.894,3,-122.479,37.714,17.650
488.260,382.299,1,-122.43,37.769,9.676
638.960,70.120,2,-122.405,37.72,11.111
578.680,573.429,2,-122.415,37.799,13.611
144.664,477.864,2,-122.487,37.784,10.966
367.700,426.896,2,-122.45,37.776,10.921
108.496,114.717,3,-122.493,37.727,15.278
512.372,407.783,1,-122.426,37.773,9.908
663.072,19.152,2,-122.401,37.712,11.434
753.492,522.461,3,-122.386,37.791,18.725
470.176,229.395,3,-122.433,37.745,15.833
675.128,547.945,2,-122.399,37.795,10.226
434.008,509.719,2,-122.439,37.789,11.667
470.176,598.913,2,-122.433,37.803,10.148
126.580,465.122,2,-122.49,37.782,11.500
482.232,12.781,2,-122.431,37.711,10.463
427.980,331.331,2,-122.44,37.761,10.690
705.268,522.461,2,-122.394,37.791,10.146
735.408,465.122,2,-122.389,37.782,11.828
42.188,318.589,2,-122.504,37.759,11.852
452.092,496.977,2,-122.436,37.787,12.015
488.260,324.960,2,-122.43,37.76,12.222
506.344,407.783,1,-122.427,37.773,9.541
241.112,490.606,2,-122.471,37.786,12.389
241.112,375.928,2,-122.471,37.768,11.111
530.456,452.380,1,-122.423,37.78,9.953
96.440,44.636,2,-122.495,37.716,12.962
771.576,178.427,2,-122.383,37.737,10.556
476.204,350.444,2,-122.432,37.764,13.920
277.280,89.233,3,-122.465,37.723,24.792
560.596,598.913,2,-122.418,37.803,12.500
174.804,76.491,2,-122.482,37.721,10.676
385.784,407.783,2,-122.447,37.773,12.287
657.044,509.719,2,-122.402,37.789,11.421
132.608,350.444,5,-122.489,37.764,14.260
277.280,63.749,3,-122.465,37.719,16.218
687.184,401.412,3,-122.397,37.772,16.339
409.896,229.395,3,-122.443,37.745,24.584
108.496,152.943,2,-122.493,37.733,10.000
204.944,439.638,1,-122.477,37.778,9.583
379.756,280.363,3,-122.448,37.753,19.861
48.216,19.152,3,-122.503,37.712,21.389
415.924,560.687,2,-122.442,37.797,10.324
