x,y,bucket,longitude,latitude,speed
132.608,356.815,1,-122.489,37.765,12.870
771.576,197.540,1,-122.383,37.74,13.403
476.204,76.491,1,-122.432,37.721,10.278
331.532,51.007,1,-122.456,37.717,10.556
204.944,344.073,1,-122.477,37.763,12.709
349.616,25.523,1,-122.453,37.713,13.333
253.168,407.783,1,-122.469,37.773,12.431
614.848,159.314,2,-122.409,37.734,19.111
723.352,57.378,1,-122.391,37.718,10.556
542.512,223.024,1,-122.421,37.744,10.556
735.408,324.960,1,-122.389,37.76,10.992
409.896,331.331,1,-122.443,37.761,11.945
638.960,184.798,1,-122.405,37.738,11.667
632.932,426.896,1,-122.406,37.776,13.945
241.112,44.636,1,-122.471,37.716,11.111
651.016,191.169,1,-122.403,37.739,11.204
693.212,426.896,1,-122.396,37.776,11.852
542.512,401.412,1,-122.421,37.772,11.667
229.056,82.862,3,-122.473,37.722,38.889
687.184,414.154,2,-122.397,37.774,15.185
355.644,0.039,1,-122.452,37.709,11.945
753.492,210.282,1,-122.386,37.742,13.231
590.736,433.267,1,-122.413,37.777,11.667
632.932,324.960,2,-122.406,37.76,20.278
476.204,356.815,1,-122.432,37.765,13.175
741.436,509.719,2,-122.388,37.789,15.012
741.436,261.250,1,-122.388,37.75,12.222
24.104,350.444,1,-122.507,37.764,11.111
24.104,280.363,1,-122.507,37.753,12.222
560.596,452.380,1,-122.418,37.78,10.556
458.120,101.975,1,-122.435,37.725,10.556
705.268,554.316,1,-122.394,37.796,12.431
54.244,426.896,1,-122.502,37.776,11.000
699.240,433.267,1,-122.395,37.777,10.278
156.720,401.412,1,-122.485,37.772,13.473
542.512,140.201,2,-122.421,37.731,18.333
440.036,503.348,1,-122.438,37.788,10.834
536.484,490.606,1,-122.422,37.786,12.778
210.972,229.395,1,-122.476,37.745,13.195
464.148,25.523,1,-122.434,37.713,12.778
379.756,356.815,1,-122.448,37.765,10.556
283.308,592.542,2,-122.464,37.802,17.778
385.784,299.476,2,-122.447,37.756,17.104
669.100,261.250,1,-122.4,37.75,14.167
669.100,592.542,1,-122.4,37.802,12.732
741.436,471.493,1,-122.388,37.783,11.508
295.364,6.410,2,-122.462,37.71,19.907
217.000,172.056,1,-122.475,37.736,13.528
235.084,159.314,1,-122.472,37.734,12.630
753.492,280.363,1,-122.386,37.753,14.167
620.876,433.267,1,-122.408,37.777,10.463
367.700,465.122,1,-122.45,37.782,11.320
217.000,618.026,1,-122.475,37.806,10.278
476.204,127.459,1,-122.432,37.729,11.667
265.224,203.911,1,-122.467,37.741,11.746
626.904,420.525,1,-122.407,37.775,11.778
379.756,76.491,2,-122.448,37.721,18.657
271.252,407.783,1,-122.466,37.773,12.500
168.776,407.783,1,-122.483,37.773,13.611
319.476,203.911,1,-122.458,37.741,12.408
361.672,496.977,1,-122.451,37.787,10.926
12.048,299.476,1,-122.509,37.756,13.333
669.100,25.523,1,-122.4,37.713,12.778
210.972,197.540,1,-122.476,37.74,12.685
705.268,172.056,1,-122.394,37.736,10.648
608.820,344.073,1,-122.41,37.763,10.417
367.700,6.410,1,-122.45,37.71,11.667
657.044,420.525,1,-122.402,37.775,12.778
765.548,184.798,1,-122.384,37.738,12.222
367.700,146.572,1,-122.45,37.732,10.833
409.896,178.427,1,-122.443,37.737,13.056
138.636,133.830,2,-122.488,37.73,15.833
253.168,433.267,1,-122.469,37.777,12.222
156.720,452.380,1,-122.485,37.78,11.042
711.296,127.459,1,-122.393,37.729,12.639
391.812,242.137,2,-122.446,37.747,15.093
476.204,586.171,1,-122.432,37.801,10.417
705.268,547.945,1,-122.394,37.795,11.769
156.720,331.331,1,-122.485,37.761,11.528
241.112,6.410,2,-122.471,37.71,15.555
325.504,261.250,1,-122.457,37.75,14.752
343.588,235.766,1,-122.454,37.746,11.389
644.988,458.751,1,-122.404,37.781,11.019
