x,y,bucket,longitude,latitude,speed
717.324,356.815,3,-122.392,37.765,17.084
494.288,178.427,2,-122.429,37.737,10.556
440.036,286.734,2,-122.438,37.754,10.348
536.484,0.039,2,-122.422,37.709,11.778
584.708,242.137,2,-122.414,37.747,10.370
524.428,586.171,1,-122.424,37.801,9.808
114.524,286.734,2,-122.492,37.754,11.052
126.580,426.896,1,-122.49,37.776,9.653
349.616,25.523,3,-122.453,37.713,17.591
253.168,407.783,2,-122.469,37.773,11.248
536.484,458.751,1,-122.422,37.781,9.389
488.260,395.041,1,-122.43,37.771,9.167
397.840,76.491,2,-122.445,37.721,13.889
482.232,152.943,5,-122.431,37.733,14.167
626.904,273.992,1,-122.407,37.752,9.722
638.960,184.798,2,-122.405,37.738,12.963
409.896,331.331,2,-122.443,37.761,12.014
632.932,426.896,2,-122.406,37.776,11.030
373.728,344.073,1,-122.449,37.763,9.691
705.268,312.218,3,-122.394,37.758,25.556
530.456,598.913,1,-122.423,37.803,9.445
349.616,101.975,2,-122.453,37.725,11.250
144.664,248.508,2,-122.487,37.748,10.408
343.588,433.267,2,-122.454,37.777,12.778
229.056,82.862,2,-122.473,37.722,10.556
717.324,76.491,1,-122.392,37.721,9.808
693.212,324.960,2,-122.396,37.76,10.278
741.436,261.250,5,-122.388,37.75,14.259
427.980,369.557,1,-122.44,37.767,9.722
741.436,509.719,2,-122.388,37.789,12.366
24.104,350.444,2,-122.507,37.764,12.570
560.596,452.380,2,-122.418,37.78,10.401
494.288,496.977,2,-122.429,37.787,10.139
156.720,401.412,2,-122.485,37.772,12.778
747.464,165.685,2,-122.387,37.735,10.278
663.072,579.800,5,-122.401,37.8,29.167
536.484,490.606,1,-122.422,37.786,9.880
223.028,184.798,2,-122.474,37.738,11.111
446.064,395.041,1,-122.437,37.771,9.306
283.308,592.542,3,-122.464,37.802,17.112
669.100,261.250,2,-122.4,37.75,12.484
669.100,509.719,1,-122.4,37.789,9.722
741.436,471.493,2,-122.388,37.783,11.993
217.000,172.056,2,-122.475,37.736,11.656
235.084,159.314,2,-122.472,37.734,11.332
434.008,484.235,1,-122.439,37.785,9.405
753.492,280.363,2,-122.386,37.753,12.639
367.700,465.122,2,-122.45,37.782,11.366
373.728,133.830,1,-122.449,37.73,9.167
675.128,172.056,1,-122.399,37.736,9.167
24.104,210.282,2,-122.507,37.742,11.714
265.224,203.911,2,-122.467,37.741,10.516
259.196,433.267,1,-122.468,37.777,9.823
192.888,31.894,2,-122.479,37.714,11.667
379.756,76.491,3,-122.448,37.721,20.156
217.000,210.282,2,-122.475,37.742,11.212
289.336,133.830,2,-122.463,37.73,12.361
584.708,273.992,2,-122.414,37.752,10.585
669.100,25.523,2,-122.4,37.713,11.346
620.876,108.346,2,-122.408,37.726,10.115
24.104,172.056,2,-122.507,37.736,11.250
355.644,382.299,1,-122.452,37.769,9.667
367.700,6.410,2,-122.45,37.71,10.801
657.044,420.525,1,-122.402,37.775,9.874
